DDDGIUZ,26
DIIOORU,14
AAAEEII,4
EEITUVW,20
AEEEIMS,16
CLOPRSU,26
EILLMNQ,22
CKORSSY,36
EENNNRY,14
BHJNOTX,28
ENOORTT,14
AEFGHRT,32
CDEMOTX,42
BIINNOS,20
EFILLSY,32
EEEHIRT,24
AAACDRV,16
GINNOTU,18
ADIIOOU,14
AFJKORT,34
EINPRYZ,38
AADGIMU,24
ABEGHOR,84
EENOSUW,24
ELLOTTT,12
ADOPRUV,30
AMOQRRS,20
AEEGIOW,16
AEHIINZ,32
AEIKLMS,34
EFHIINO,30
ABCDITW,20
GNNOUVX,26
EGLOPTU,76
DEEOSTU,18
AFIJRRY,32
BEHOTTU,18
DEEIJRT,42
INNNNOR,12
ABCEFFG,28
AAEIOST,12
AEGKLMS,32
ACILMOO,26
DEEINOT,18
AGORSTW,24
ILNPRRV,14
AELORUX,40
DEHIUVY,32
AAEHRUW,18
EEGORTW,24
DEIKNST,84
ACEENNQ,16
EFIRTTU,78
DEGNOOP,26
AGIMNOO,24
IIINOSX,20
CEILLMV,26
ADDEIIV,26
AAERTYY,24
ABELRSU,22
EELOPSY,30
AABEFIR,28
ABCEEMW,38
GIOORUU,16
AHINTVY,32
AAEGOPT,24
EIIIJOZ,20
ADILNQX,28
AEGNOOT,18
DEFORSW,30
EKMNRUV,20
CIILLNT,16
CEINORY,28
MNOOOPY,22
AAEEKNV,34
AACEFIR,30
EEINOOT,14
AALQSTU,30
DIORTUW,16
BDGILTZ,52
ADGJMSU,26
EGHHORX,26
AAEEIRV,24
EFIILRT,78
CINNORV,26
AADEILM,24
DEEOSTT,18
CEEFJRT,36
ORSTUUZ,12
AAIRUWY,32
ABEILNO,22
DEIIPTW,30
EFOPSTV,24
AADILOS,18
AGGIMNY,30
EHNOOUX,26
ACINNOZ,92
EEILRTY,26
BDEGISV,28
AEHLNTU,26
ACKOOUW,36
AAGHNOT,26
AEFIJQU,42
AEEIRRT,66
DELMMPT,16
DEENOSV,26
BIOORSU,20
AFNPRTY,36
BEEILRV,82
AEFNSTY,32
CINOQVZ,30
AEEGITX,26
EIIILMT,16
AADEEUU,8
DDINORW,26
GHINPRS,26
BENRSUY,30
ACDGOOO,14
ELNOOTT,14
AEFJKOT,30
DEJKMTV,20
ILQRSUY,24
AHNNOXZ,38
AEFGLPS,28
ABEGINV,26
AADIORY,26
AEEEHLR,26
CDFORRT,26
DEEGOUW,28
CEITTTW,22
AIINOTU,12
ABEIIOP,14
ACEEIMU,26
EHJLNOW,30
ABEIPSU,24
DFIISTV,24
DDGIIMZ,26
AAGLNOT,18
ACEOQTT,24
EEORUVX,38
AINOPST,22
AEENNOS,12
AEEFHIO,18
ADIRTUW,16
AEIISVY,18
EEGIOST,18
AIKNNTU,30
DFINOOX,26
EEHIPRW,34
AAEILTY,24
DEINTVW,32
BIMNORU,26
AEFLLRR,26
EEGMOOU,14
AAERRSU,14
ACJPSTZ,30
AAEFKRU,34
BCJNRTX,0
EEHOPRT,30
AIINOPT,20
AFHINQS,24
DEEELWZ,26
GIINRTU,18
DEILMOU,24
AIOOOOV,12
BCEEGGO,14
AEESUVY,18
ADLNNSS,14
ELNRWWZ,24
CEGPQSX,20
AHIIIRV,14
CDEENNV,16
ADEILMR,24
ABFGLRS,28
ADOOOUU,8
AAFIJOY,26
DEEIORS,70
AEEEGHY,20
AELNSTU,66
EIIMOTT,20
EEEHIKR,32
DEILNOY,26
EMMNOST,78
AAAINVY,20
ACEILPT,78
DHILNOP,84
EGLORSU,18
ABEQUUW,24
EFGITVZ,30
ACEJRTW,26
AADEFOR,28
AEINRTU,66
EHIINOT,20
DEFMPRS,30
EOORWWY,20
ADNOSTV,18
AGIJLOO,22
ADGIOUV,22
DLOPRST,22
EEEHRRY,30
ABEFKNX,28
AABTTUU,20
AEILNST,66
AACEEIU,16
AEEHLLN,14
AFIOTTW,20
DDNRSTW,0
FIINSSV,24
ABEIRST,74
CEEMNNQ,12
AEEINRR,14
AAERTUU,14
CEHLOUU,30
AMOOPPY,36
DELOOVZ,34
DEGGIJO,48
EEEHOOR,14
ABDHLRX,20
EENOUUV,24
EGOOSUY,28
ABLOQSS,20
AEFRSTT,26
AIIPRUW,18
EEIIIIT,6
AGINRRT,70
ACDEEIT,22
ACDILMM,24
AEKLNOZ,34
EEFIPRY,30
AEFINPQ,22
BCIJOOY,26
AIINOTV,18
EHLLNTW,20
AHIMRUZ,52
AADEORT,18
AGLNRSU,68
AAABCDG,20
EIIIOSX,22
DENNOSV,26
DEEOUUW,16
EGGIMRU,78
AELQRST,26
AAELMRU,22
HIKNRSU,36
ABINOWY,30
EFILORW,32
DEIOPPT,28
AABLOSV,82
ADNNOTT,16
AEEINOO,8
DEEIUYZ,26
CCDEIOT,80
BFILOOT,16
ADEIINR,70
EFPRTVZ,30
AAEEGNO,16
ACILRTU,74
AAEOOTY,14
DHLOOTU,80
BDEELQW,30
EIKNSVW,36
AGINNSU,70
